,qty,id_item,price,count
0,2.083067092651757,"90143,22103,44092C,84755,35638A,84858C,21661,90160C,90018B,90096,85204,21414,23003,72801C,22254,35637A,35637C,22216,90000A,21087,90026D,20704,84821,22308,22309,90065A,20897,82095,20705,72140E,90024C,90014B,22679,90000D,72801D,85169D,90026B,90191,46776B,90024F,84429A,90100,90000B,35810A,90026C,90160D,16216,21833,22305,84466,21633,35809A,21066",0.06,3
1,2.083067092651757,"90143,22103,44092C,84755,35638A,84858C,21661,90160C,90018B,90096,85204,21414,23003,72801C,22254,35637A,35637C,22216,90000A,21087,90026D,20704,84821,22308,22309,90065A,20897,82095,20705,72140E,90024C,90014B,22679,90000D,72801D,85169D,90026B,90191,46776B,90024F,84429A,90100,90000B,35810A,90026C,90160D,16216,21833,22305,84466,21633,35809A,21066",0.12,7
2,2.083067092651757,"90143,22103,44092C,84755,35638A,84858C,21661,90160C,90018B,90096,85204,21414,23003,72801C,22254,35637A,35637C,22216,90000A,21087,90026D,20704,84821,22308,22309,90065A,20897,82095,20705,72140E,90024C,90014B,22679,90000D,72801D,85169D,90026B,90191,46776B,90024F,84429A,90100,90000B,35810A,90026C,90160D,16216,21833,22305,84466,21633,35809A,21066",0.16,2
3,2.083067092651757,"90143,22103,44092C,84755,35638A,84858C,21661,90160C,90018B,90096,85204,21414,23003,72801C,22254,35637A,35637C,22216,90000A,21087,90026D,20704,84821,22308,22309,90065A,20897,82095,20705,72140E,90024C,90014B,22679,90000D,72801D,85169D,90026B,90191,46776B,90024F,84429A,90100,90000B,35810A,90026C,90160D,16216,21833,22305,84466,21633,35809A,21066",0.19,2
4,2.083067092651757,"90143,22103,44092C,84755,35638A,84858C,21661,90160C,90018B,90096,85204,21414,23003,72801C,22254,35637A,35637C,22216,90000A,21087,90026D,20704,84821,22308,22309,90065A,20897,82095,20705,72140E,90024C,90014B,22679,90000D,72801D,85169D,90026B,90191,46776B,90024F,84429A,90100,90000B,35810A,90026C,90160D,16216,21833,22305,84466,21633,35809A,21066",0.42,22
5,2.083067092651757,"90143,22103,44092C,84755,35638A,84858C,21661,90160C,90018B,90096,85204,21414,23003,72801C,22254,35637A,35637C,22216,90000A,21087,90026D,20704,84821,22308,22309,90065A,20897,82095,20705,72140E,90024C,90014B,22679,90000D,72801D,85169D,90026B,90191,46776B,90024F,84429A,90100,90000B,35810A,90026C,90160D,16216,21833,22305,84466,21633,35809A,21066",0.65,5
6,2.083067092651757,"90143,22103,44092C,84755,35638A,84858C,21661,90160C,90018B,90096,85204,21414,23003,72801C,22254,35637A,35637C,22216,90000A,21087,90026D,20704,84821,22308,22309,90065A,20897,82095,20705,72140E,90024C,90014B,22679,90000D,72801D,85169D,90026B,90191,46776B,90024F,84429A,90100,90000B,35810A,90026C,90160D,16216,21833,22305,84466,21633,35809A,21066",0.83,6
7,2.083067092651757,"90143,22103,44092C,84755,35638A,84858C,21661,90160C,90018B,90096,85204,21414,23003,72801C,22254,35637A,35637C,22216,90000A,21087,90026D,20704,84821,22308,22309,90065A,20897,82095,20705,72140E,90024C,90014B,22679,90000D,72801D,85169D,90026B,90191,46776B,90024F,84429A,90100,90000B,35810A,90026C,90160D,16216,21833,22305,84466,21633,35809A,21066",0.85,17
8,2.083067092651757,"90143,22103,44092C,84755,35638A,84858C,21661,90160C,90018B,90096,85204,21414,23003,72801C,22254,35637A,35637C,22216,90000A,21087,90026D,20704,84821,22308,22309,90065A,20897,82095,20705,72140E,90024C,90014B,22679,90000D,72801D,85169D,90026B,90191,46776B,90024F,84429A,90100,90000B,35810A,90026C,90160D,16216,21833,22305,84466,21633,35809A,21066",1.25,55
9,2.083067092651757,"90143,22103,44092C,84755,35638A,84858C,21661,90160C,90018B,90096,85204,21414,23003,72801C,22254,35637A,35637C,22216,90000A,21087,90026D,20704,84821,22308,22309,90065A,20897,82095,20705,72140E,90024C,90014B,22679,90000D,72801D,85169D,90026B,90191,46776B,90024F,84429A,90100,90000B,35810A,90026C,90160D,16216,21833,22305,84466,21633,35809A,21066",1.65,1
